Image,Name,Description
https://stardewvalleywiki.com/mediawiki/images/0/01/Tiger_Trout.png,Tiger Trout,A rare hybrid trout that cannot bear offspring of its own.
https://stardewvalleywiki.com/mediawiki/images/d/db/Bullhead.png,Bullhead,A relative of the catfish that eats a variety of foods off the lake bottom.
https://stardewvalleywiki.com/mediawiki/images/7/73/Tilapia.png,Tilapia,A primarily vegetarian fish that prefers warm water.
https://stardewvalleywiki.com/mediawiki/images/b/bd/Chub.png,Chub,A common freshwater fish known for its voracious appetite.
https://stardewvalleywiki.com/mediawiki/images/1/18/Dorado.png,Dorado,A fierce carnivore with brilliant orange scales.
https://stardewvalleywiki.com/mediawiki/images/e/e1/Albacore.png,Albacore,"Prefers temperature ""edges"" where cool and warm water meet."
https://stardewvalleywiki.com/mediawiki/images/e/ef/Shad.png,Shad,"Lives in a school at sea, but returns to the rivers to spawn."
https://stardewvalleywiki.com/mediawiki/images/8/87/Lingcod.png,Lingcod,A fearsome predator that will eat almost anything it can cram into its mouth.
https://stardewvalleywiki.com/mediawiki/images/0/02/Halibut.png,Halibut,A flat fish that lives on the ocean floor.
https://stardewvalleywiki.com/mediawiki/images/9/97/Woodskip.png,Woodskip,A very sensitive fish that can only live in pools deep in the forest.
https://stardewvalleywiki.com/mediawiki/images/a/ad/Void_Salmon.png,Void Salmon,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air."
https://stardewvalleywiki.com/mediawiki/images/3/34/Slimejack.png,Slimejack,He's coated in a very thick layer of slime. He keeps slipping out of your hands!
https://stardewvalleywiki.com/mediawiki/images/3/3a/Stingray.png,Stingray,"Despite having a toxic stinger, these fish are shy and prefer to avoid humans."
https://stardewvalleywiki.com/mediawiki/images/b/bb/Lionfish.png,Lionfish,"An aggressive, predatory fish with venomous spines."
https://stardewvalleywiki.com/mediawiki/images/e/ee/Blue_Discus.png,Blue Discus,A brightly colored tropical fish that is popular in aquariums.
https://stardewvalleywiki.com/mediawiki/images/6/67/Goby.png,Goby,Some types of Gobies can climb up waterfalls.
